Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"INDUW","Industrea Acquisition Corp.","Finance","Business Services",0,"https://www.nasdaq.com/symbol/induw",null,2017,0.93,
"PEBO","Peoples Bancorp Inc.","Finance","Major Banks",681399809.6,"https://www.nasdaq.com/symbol/pebo",null,null,34.88,
"CENT","Central Garden & Pet Company","Consumer Durables","Consumer Specialties",1858931165,"https://www.nasdaq.com/symbol/cent",null,1993,32.5,
"HABT","The Habit Restaurants Inc.","Consumer Services","Restaurants",367286825.1,"https://www.nasdaq.com/symbol/habt",null,2014,14.1,
"SPLK","Splunk Inc.","Technology","Computer Software: Prepackaged Software",13996897913.4,"https://www.nasdaq.com/symbol/splk",null,2012,95.46,
"UTMD","Utah Medical Products Inc.","Health Care","Medical/Dental Instruments",327197450,"https://www.nasdaq.com/symbol/utmd",null,null,87.65,
"DWFI","SPDR Dorsey Wright Fixed Income Allocation ETF",null,null,135623250,"https://www.nasdaq.com/symbol/dwfi",null,null,22.89,
"PATK","Patrick Industries Inc.","Basic Industries","Forest Products",1077689969.26,"https://www.nasdaq.com/symbol/patk",null,null,43.93,
"AKBA","Akebia Therapeutics Inc.","Health Care","Major Pharmaceuticals",436455931.95,"https://www.nasdaq.com/symbol/akba",null,2014,7.65,
"ASCMA","Ascent Capital Group Inc.","Consumer Services","Other Consumer Services",11959575.5079,"https://www.nasdaq.com/symbol/ascma",null,null,0.9621,
"APVO","Aptevo Therapeutics Inc.","Health Care","Major Pharmaceuticals",81383163.95,"https://www.nasdaq.com/symbol/apvo",null,null,3.59,
"TRNS","Transcat Inc.","Capital Goods","Electrical Products",147526914.03,"https://www.nasdaq.com/symbol/trns",null,null,20.49,
"NAVI","Navient Corporation","Finance","Investment Bankers/Brokers/Service",2985060000,"https://www.nasdaq.com/symbol/navi",null,null,11.57,
"RDCM","Radcom Ltd.","Technology","Computer peripheral equipment",126182256.25,"https://www.nasdaq.com/symbol/rdcm",null,1997,9.25,
"AAOI","Applied Optoelectronics Inc.","Technology","Semiconductors",394747839.84,"https://www.nasdaq.com/symbol/aaoi",null,2013,20.04,
"VRA","Vera Bradley Inc.","Consumer Non-Durables","Apparel",471098252.4,"https://www.nasdaq.com/symbol/vra",null,2010,13.4,
"DCAR","DropCar Inc.","Consumer Services","Telecommunications Equipment",3273017.0124,"https://www.nasdaq.com/symbol/dcar",null,null,0.3684,
"FNKO","Funko Inc.","Consumer Non-Durables","Recreational Products/Toys",913756161.2,"https://www.nasdaq.com/symbol/fnko",null,2017,18.91,
